experience_level,employment_type,job_title,salary,company_location,company_size,Enterprise_size
SE,FT,Data Engineer,140000,US,M,Medium_enterprise
SE,FT,Data Scientist,45000,ES,M,Medium_enterprise
SE,FT,Data Scientist,36000,ES,M,Medium_enterprise
SE,FT,Data Scientist,105000,US,M,Medium_enterprise
SE,FT,Data Scientist,70000,US,M,Medium_enterprise
EN,FT,Machine Learning Engineer,163196,US,M,Medium_enterprise
EN,FT,Machine Learning Engineer,145885,US,M,Medium_enterprise
SE,FT,Data Engineer,217000,US,M,Medium_enterprise
SE,FT,Data Engineer,185000,US,M,Medium_enterprise
SE,FT,Data Analyst,202800,US,L,Large_enterprise
SE,FT,Data Analyst,104300,US,L,Large_enterprise
SE,FT,Data Analyst,145000,US,M,Medium_enterprise
SE,FT,Data Analyst,65000,US,M,Medium_enterprise
SE,FT,Data Engineer,165000,US,M,Medium_enterprise
SE,FT,Data Engineer,132300,US,M,Medium_enterprise
SE,FT,Data Engineer,179170,US,M,Medium_enterprise
SE,FT,Data Engineer,94300,US,M,Medium_enterprise
SE,FT,Analytics Engineer,152500,US,M,Medium_enterprise
SE,FT,Analytics Engineer,116450,US,M,Medium_enterprise
SE,FT,Data Engineer,247300,US,M,Medium_enterprise
SE,FT,Data Engineer,133800,US,M,Medium_enterprise
SE,FT,Research Engineer,203000,US,M,Medium_enterprise
SE,FT,Research Engineer,133000,US,M,Medium_enterprise
EN,FT,Research Scientist,220000,US,L,Large_enterprise
EN,FT,Machine Learning Engineer,54000,CH,S,Small_enterprise
SE,FT,Data Scientist,150000,US,M,Medium_enterprise
SE,FT,Data Scientist,120000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,289800,US,M,Medium_enterprise
SE,FT,Analytics Engineer,214000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,179820,US,M,Medium_enterprise
SE,FT,Analytics Engineer,143860,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,283200,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,188800,US,M,Medium_enterprise
SE,FT,Analytics Engineer,289800,US,M,Medium_enterprise
SE,FT,Analytics Engineer,214200,US,M,Medium_enterprise
SE,FT,Data Engineer,185900,US,M,Medium_enterprise
SE,FT,Data Engineer,129300,US,M,Medium_enterprise
SE,FT,Data Engineer,252000,US,M,Medium_enterprise
SE,FT,Data Engineer,129000,US,M,Medium_enterprise
MI,FT,Data Analytics Manager,155000,US,M,Medium_enterprise
MI,FT,Data Analytics Manager,140000,US,M,Medium_enterprise
SE,FT,Data Engineer,161800,US,M,Medium_enterprise
SE,FT,Data Engineer,141600,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,342300,US,L,Large_enterprise
SE,FT,Machine Learning Engineer,176100,US,L,Large_enterprise
MI,FT,Data Engineer,100000,US,M,Medium_enterprise
MI,FT,Data Engineer,70000,US,M,Medium_enterprise
EN,FT,Data Engineer,85000,US,M,Medium_enterprise
EN,FT,Data Engineer,65000,US,M,Medium_enterprise
SE,FT,Data Scientist,138784,US,M,Medium_enterprise
SE,FT,Data Scientist,83270,US,M,Medium_enterprise
EN,FT,Data Analyst,75000,US,M,Medium_enterprise
EN,FT,Data Analyst,70000,US,M,Medium_enterprise
SE,FT,Data Analyst,204500,US,M,Medium_enterprise
SE,FT,Data Analyst,138900,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,318300,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,212200,US,M,Medium_enterprise
SE,FT,Data Engineer,95000,US,M,Medium_enterprise
SE,FT,Data Engineer,75000,US,M,Medium_enterprise
SE,FT,Data Scientist,195000,US,M,Medium_enterprise
SE,FT,Data Scientist,160000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,230000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,143200,US,M,Medium_enterprise
MI,FT,Data Engineer,100000,US,M,Medium_enterprise
MI,FT,Data Engineer,70000,US,M,Medium_enterprise
MI,FT,Business Data Analyst,105000,US,L,Large_enterprise
MI,FT,Applied Data Scientist,1700000,IN,L,Large_enterprise
MI,FT,Data Analyst,38000,GB,M,Medium_enterprise
MI,FT,Data Analyst,35000,GB,M,Medium_enterprise
SE,FT,Data Engineer,145000,US,M,Medium_enterprise
SE,FT,Data Engineer,115000,US,M,Medium_enterprise
SE,FT,Data Analyst,168400,US,M,Medium_enterprise
SE,FT,Data Analyst,105200,US,M,Medium_enterprise
SE,FT,Applied Scientist,309400,US,L,Large_enterprise
SE,FT,Applied Scientist,159100,US,L,Large_enterprise
SE,FT,Machine Learning Engineer,190000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,150000,US,M,Medium_enterprise
MI,FT,Data Engineer,162500,US,M,Medium_enterprise
MI,FT,Data Engineer,130000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,150000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,120000,US,M,Medium_enterprise
SE,FT,Data Engineer,145000,US,M,Medium_enterprise
SE,FT,Data Engineer,120000,US,M,Medium_enterprise
SE,FT,Applied Scientist,222200,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
SE,FT,Data Analyst,45000,CF,M,Medium_enterprise
SE,FT,Data Analyst,35000,CF,M,Medium_enterprise
SE,FT,Data Engineer,241000,US,M,Medium_enterprise
SE,FT,Data Engineer,155000,US,M,Medium_enterprise
SE,FT,Data Engineer,220000,US,M,Medium_enterprise
SE,FT,Data Engineer,190000,US,M,Medium_enterprise
MI,FT,Data Scientist,55000,GB,M,Medium_enterprise
MI,FT,Data Scientist,45000,GB,M,Medium_enterprise
EX,FT,Staff Data Analyst,15000,CA,M,Medium_enterprise
MI,FT,ETL Engineer,70000,GB,M,Medium_enterprise
MI,FT,ETL Engineer,47500,GB,M,Medium_enterprise
EN,FT,Data Analyst,85000,US,M,Medium_enterprise
EN,FT,Data Analyst,75000,US,M,Medium_enterprise
SE,FT,Data Engineer,160000,US,M,Medium_enterprise
SE,FT,Data Engineer,140000,US,M,Medium_enterprise
MI,FT,Machine Learning Engineer,300000,US,M,Medium_enterprise
MI,FT,Machine Learning Engineer,250000,US,M,Medium_enterprise
SE,FT,Data Scientist,228000,US,M,Medium_enterprise
SE,FT,Data Scientist,186000,US,M,Medium_enterprise
SE,FT,Data Scientist,190000,US,M,Medium_enterprise
SE,FT,Data Scientist,170000,US,M,Medium_enterprise
MI,FT,Research Engineer,230000,US,M,Medium_enterprise
MI,FT,Research Engineer,200000,US,M,Medium_enterprise
SE,FT,Data Architect,180000,US,M,Medium_enterprise
SE,FT,Data Architect,115000,US,M,Medium_enterprise
SE,FT,Data Architect,200000,US,M,Medium_enterprise
SE,FT,Data Architect,115000,US,M,Medium_enterprise
SE,FT,Data DevOps Engineer,50000,FR,S,Small_enterprise
EX,FT,Data Engineer,220000,US,M,Medium_enterprise
EX,FT,Data Engineer,205000,US,M,Medium_enterprise
MI,FT,Data Engineer,180000,US,M,Medium_enterprise
MI,FT,Data Engineer,130000,US,M,Medium_enterprise
SE,FT,Data Engineer,200000,US,M,Medium_enterprise
SE,FT,Data Engineer,150000,US,M,Medium_enterprise
SE,FT,Computer Vision Engineer,215000,US,M,Medium_enterprise
SE,FT,Computer Vision Engineer,170000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,247500,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,172200,US,M,Medium_enterprise
SE,FT,Data Scientist,224000,CA,M,Medium_enterprise
SE,FT,Data Scientist,176000,CA,M,Medium_enterprise
SE,FT,Data Analyst,120000,US,M,Medium_enterprise
SE,FT,Data Analyst,75000,US,M,Medium_enterprise
EN,FT,Data Engineer,1400000,IN,L,Large_enterprise
SE,FT,Applied Data Scientist,100000,FI,M,Medium_enterprise
MI,FT,AI Developer,100000,FI,M,Medium_enterprise
SE,FT,Data Analyst,140000,US,M,Medium_enterprise
SE,FT,Data Analyst,120000,US,M,Medium_enterprise
SE,FT,Data Engineer,128000,US,M,Medium_enterprise
SE,FT,Data Engineer,81500,US,M,Medium_enterprise
SE,FT,Data Engineer,145000,US,M,Medium_enterprise
SE,FT,Data Engineer,115000,US,M,Medium_enterprise
SE,FT,Data Engineer,185000,US,M,Medium_enterprise
SE,FT,Data Engineer,140000,US,M,Medium_enterprise
EX,FT,Head of Data,329500,US,M,Medium_enterprise
EX,FT,Head of Data,269600,US,M,Medium_enterprise
SE,FT,Data Quality Analyst,100000,US,M,Medium_enterprise
SE,FT,Data Quality Analyst,80000,US,M,Medium_enterprise
SE,FT,Data Scientist,250000,US,M,Medium_enterprise
SE,FT,Data Scientist,162500,US,M,Medium_enterprise
MI,FT,AI Developer,200000,US,M,Medium_enterprise
SE,FT,Data Engineer,145000,US,M,Medium_enterprise
SE,FT,Data Engineer,100000,US,M,Medium_enterprise
EX,FT,Data Engineer,145000,US,M,Medium_enterprise
EX,FT,Data Engineer,115000,US,M,Medium_enterprise
SE,FT,Data Scientist,203500,US,M,Medium_enterprise
SE,FT,Data Scientist,152000,US,M,Medium_enterprise
SE,FT,Data Scientist,239000,US,L,Large_enterprise
SE,FT,Data Scientist,122900,US,L,Large_enterprise
SE,FT,Data Scientist,237000,US,M,Medium_enterprise
SE,FT,Data Scientist,145000,US,M,Medium_enterprise
SE,FT,Data Science Manager,191765,US,M,Medium_enterprise
SE,FT,Data Science Manager,134236,US,M,Medium_enterprise
SE,FT,Analytics Engineer,190000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,112000,US,M,Medium_enterprise
SE,FT,Data Scientist,84000,GB,L,Large_enterprise
EN,FT,Data Engineer,85000,US,M,Medium_enterprise
EN,FT,Data Engineer,65000,US,M,Medium_enterprise
SE,FT,Data Analyst,135000,US,M,Medium_enterprise
SE,FT,Data Analyst,105500,US,M,Medium_enterprise
SE,FT,Research Engineer,293000,US,M,Medium_enterprise
SE,FT,Research Engineer,185000,US,M,Medium_enterprise
SE,FT,Data Analyst,80000,US,M,Medium_enterprise
SE,FT,Data Analyst,70000,US,M,Medium_enterprise
SE,FT,Data Engineer,220000,US,M,Medium_enterprise
SE,FT,Data Engineer,160000,US,M,Medium_enterprise
SE,FT,Data Scientist,175000,US,M,Medium_enterprise
SE,FT,Data Scientist,145000,US,M,Medium_enterprise
SE,FT,Data Analyst,200000,US,M,Medium_enterprise
SE,FT,Data Analyst,148500,US,M,Medium_enterprise
SE,FT,Data Scientist,45000,ES,M,Medium_enterprise
SE,FT,Data Scientist,36000,ES,M,Medium_enterprise
SE,FT,Data Engineer,240500,US,L,Large_enterprise
SE,FT,Data Engineer,123700,US,L,Large_enterprise
SE,FT,Analytics Engineer,152900,US,M,Medium_enterprise
SE,FT,Analytics Engineer,117100,US,M,Medium_enterprise
SE,FT,Analytics Engineer,173000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,113000,US,M,Medium_enterprise
SE,FT,Applied Scientist,260000,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
EX,FT,Data Engineer,175000,US,M,Medium_enterprise
EX,FT,Data Engineer,110000,US,M,Medium_enterprise
SE,FT,Applied Scientist,260000,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
SE,FT,Research Scientist,130000,US,M,Medium_enterprise
SE,FT,Research Scientist,110000,US,M,Medium_enterprise
SE,FT,Applied Scientist,205000,US,M,Medium_enterprise
SE,FT,Applied Scientist,184000,US,M,Medium_enterprise
SE,FT,Data Analyst,149500,US,M,Medium_enterprise
SE,FT,Data Analyst,127075,US,M,Medium_enterprise
SE,FT,Data Scientist,195000,US,M,Medium_enterprise
SE,FT,Data Scientist,160000,US,M,Medium_enterprise
SE,FT,Data Engineer,219535,US,M,Medium_enterprise
SE,FT,Data Engineer,146115,US,M,Medium_enterprise
SE,FT,Data Scientist,170000,US,M,Medium_enterprise
SE,FT,Data Scientist,135000,US,M,Medium_enterprise
SE,FT,Data Scientist,175000,US,M,Medium_enterprise
SE,FT,Data Scientist,145000,US,M,Medium_enterprise
SE,FT,Data Scientist,199000,US,M,Medium_enterprise
SE,FT,Data Scientist,162000,US,M,Medium_enterprise
SE,FT,Applied Scientist,222200,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
EX,FT,Analytics Engineer,221000,US,M,Medium_enterprise
EX,FT,Analytics Engineer,153000,US,M,Medium_enterprise
SE,FT,Data Analyst,187000,US,M,Medium_enterprise
SE,FT,Data Analyst,128000,US,M,Medium_enterprise
SE,FT,Research Scientist,210000,US,M,Medium_enterprise
SE,FT,Research Scientist,136000,US,M,Medium_enterprise
SE,FT,Data Scientist,175000,US,M,Medium_enterprise
SE,FT,Data Scientist,100000,US,M,Medium_enterprise
SE,FT,Data Engineer,179000,US,M,Medium_enterprise
SE,FT,Data Engineer,109000,US,M,Medium_enterprise
SE,FT,Data Scientist,245000,US,M,Medium_enterprise
SE,FT,Data Scientist,180000,US,M,Medium_enterprise
SE,FT,Data Analyst,142000,US,M,Medium_enterprise
SE,FT,Data Analyst,75000,US,M,Medium_enterprise
SE,FT,Data Manager,198800,US,M,Medium_enterprise
SE,FT,Data Manager,105200,US,M,Medium_enterprise
SE,FT,Data Analyst,125000,US,M,Medium_enterprise
SE,FT,Data Analyst,112000,US,M,Medium_enterprise
SE,FT,Data Scientist,210000,US,M,Medium_enterprise
SE,FT,Data Scientist,155000,US,M,Medium_enterprise
SE,FT,Data Manager,115000,US,M,Medium_enterprise
SE,FT,Data Manager,86000,US,M,Medium_enterprise
SE,FT,Data Scientist,165000,US,M,Medium_enterprise
SE,FT,Data Scientist,140000,US,M,Medium_enterprise
SE,FT,Data Analyst,139000,US,M,Medium_enterprise
SE,FT,Data Analyst,106000,US,M,Medium_enterprise
EN,FT,Data Analyst,55000,CA,L,Large_enterprise
SE,FT,AI Developer,275000,CA,S,Small_enterprise
SE,FL,Machine Learning Researcher,50000,UA,S,Small_enterprise
MI,FT,Machine Learning Engineer,280700,US,M,Medium_enterprise
MI,FT,Machine Learning Engineer,150450,US,M,Medium_enterprise
EN,FT,Data Scientist,70000,CA,L,Large_enterprise
SE,FT,Data Architect,250500,US,M,Medium_enterprise
SE,FT,Data Architect,159500,US,M,Medium_enterprise
SE,FT,Data Engineer,145000,US,M,Medium_enterprise
SE,FT,Data Engineer,115000,US,M,Medium_enterprise
SE,FT,Data Analyst,140000,US,M,Medium_enterprise
SE,FT,Data Analyst,120000,US,M,Medium_enterprise
EN,FT,Data Scientist,130001,US,M,Medium_enterprise
EN,FT,Data Scientist,71907,US,M,Medium_enterprise
MI,FT,Data Scientist,93918,US,M,Medium_enterprise
MI,FT,Data Scientist,51962,US,M,Medium_enterprise
SE,FT,Data Analyst,175000,CA,M,Medium_enterprise
SE,FT,Data Analyst,135000,CA,M,Medium_enterprise
EN,FT,Data Engineer,85000,US,M,Medium_enterprise
EN,FT,Data Engineer,65000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,257000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,147000,US,M,Medium_enterprise
SE,FT,Data Engineer,222000,US,M,Medium_enterprise
SE,FT,Data Engineer,175000,US,M,Medium_enterprise
SE,FT,Data Scientist,203000,US,M,Medium_enterprise
SE,FT,Data Scientist,133200,US,M,Medium_enterprise
EN,FT,Applied Scientist,213660,US,L,Large_enterprise
EN,FT,Applied Scientist,130760,US,L,Large_enterprise
SE,FT,Data Engineer,221000,US,M,Medium_enterprise
SE,FT,Data Engineer,147000,US,M,Medium_enterprise
SE,FT,Data Quality Analyst,100000,US,M,Medium_enterprise
SE,FT,Data Quality Analyst,80000,US,M,Medium_enterprise
SE,FT,Data Scientist,185900,US,M,Medium_enterprise
SE,FT,Data Scientist,129300,US,M,Medium_enterprise
SE,FT,Data Scientist,238000,US,M,Medium_enterprise
SE,FT,Data Scientist,156000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,304000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,199000,US,M,Medium_enterprise
MI,FT,Big Data Engineer,45000,ES,M,Medium_enterprise
SE,FT,Data Engineer,150000,US,M,Medium_enterprise
SE,FT,Data Engineer,130000,US,M,Medium_enterprise
SE,FT,Data Scientist,140000,US,M,Medium_enterprise
SE,FT,Data Scientist,110000,US,M,Medium_enterprise
MI,FT,Data Analyst,90000,US,M,Medium_enterprise
MI,FT,Data Analyst,75000,US,M,Medium_enterprise
MI,FT,Research Scientist,161200,GB,M,Medium_enterprise
MI,FT,Research Scientist,84570,GB,M,Medium_enterprise
SE,FT,Data Engineer,240000,US,M,Medium_enterprise
SE,FT,Data Engineer,183600,US,M,Medium_enterprise
MI,FT,Data Specialist,130000,US,M,Medium_enterprise
MI,FT,Data Specialist,80000,US,M,Medium_enterprise
SE,FT,Data Engineer,250000,US,M,Medium_enterprise
SE,FT,Data Engineer,150000,US,M,Medium_enterprise
SE,FT,Data Analytics Manager,160000,US,M,Medium_enterprise
SE,FT,Data Analytics Manager,120000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,289076,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,202353,US,M,Medium_enterprise
SE,FT,Data Engineer,145000,US,M,Medium_enterprise
SE,FT,Data Engineer,120000,US,M,Medium_enterprise
SE,FT,Data Analyst,155000,US,M,Medium_enterprise
SE,FT,Data Analyst,106000,US,M,Medium_enterprise
SE,FT,Data Engineer,200000,US,M,Medium_enterprise
SE,FT,Data Engineer,160000,US,M,Medium_enterprise
SE,FT,Data Scientist,157750,US,M,Medium_enterprise
SE,FT,Data Scientist,104650,US,M,Medium_enterprise
MI,FT,Data Scientist,180000,US,M,Medium_enterprise
MI,FT,Data Scientist,140000,US,M,Medium_enterprise
EX,FT,Data Scientist,200000,US,M,Medium_enterprise
EX,FT,Data Scientist,145000,US,M,Medium_enterprise
MI,FT,Lead Data Analyst,68000,US,L,Large_enterprise
EN,FT,BI Data Engineer,60000,US,M,Medium_enterprise
SE,FT,Data Scientist,45000,ES,M,Medium_enterprise
SE,FT,Data Scientist,36000,ES,M,Medium_enterprise
EN,FT,Data Engineer,85000,US,M,Medium_enterprise
EN,FT,Data Engineer,65000,US,M,Medium_enterprise
MI,FT,Data Engineer,125000,US,M,Medium_enterprise
MI,FT,Data Engineer,90000,US,M,Medium_enterprise
SE,FT,Data Analyst,105000,US,M,Medium_enterprise
SE,FT,Data Analyst,90000,US,M,Medium_enterprise
SE,FT,Analytics Engineer,179820,US,M,Medium_enterprise
SE,FT,Analytics Engineer,143860,US,M,Medium_enterprise
SE,FT,Data Analyst,135000,US,M,Medium_enterprise
SE,FT,Data Analyst,105500,US,M,Medium_enterprise
EN,FT,Research Engineer,155000,US,M,Medium_enterprise
EN,FT,Research Engineer,125000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,241000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,181000,US,M,Medium_enterprise
SE,FT,Data Scientist,252000,US,M,Medium_enterprise
SE,FT,Data Scientist,154000,US,M,Medium_enterprise
EX,FT,Data Architect,180000,US,M,Medium_enterprise
EX,FT,Data Architect,155000,US,M,Medium_enterprise
SE,FT,Data Scientist,191765,US,M,Medium_enterprise
SE,FT,Data Scientist,134236,US,M,Medium_enterprise
SE,FT,Data Scientist,175000,US,M,Medium_enterprise
SE,FT,Data Scientist,145000,US,M,Medium_enterprise
SE,FT,Data Scientist,237000,US,M,Medium_enterprise
SE,FT,Data Scientist,145000,US,M,Medium_enterprise
EN,FT,Research Engineer,155000,US,M,Medium_enterprise
EN,FT,Research Engineer,125000,US,M,Medium_enterprise
SE,FT,Data Analyst,80000,US,M,Medium_enterprise
SE,FT,Data Analyst,70000,US,M,Medium_enterprise
SE,FT,Data Engineer,146000,US,M,Medium_enterprise
SE,FT,Data Engineer,75000,US,M,Medium_enterprise
EN,FT,Data Analyst,64200,US,M,Medium_enterprise
EN,FT,Data Analyst,56100,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,170000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,130000,US,M,Medium_enterprise
SE,FT,Data Analyst,208450,US,M,Medium_enterprise
SE,FT,Data Analyst,170550,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,125000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,100000,US,M,Medium_enterprise
MI,FT,Data Manager,135000,US,M,Medium_enterprise
MI,FT,Data Manager,120000,US,M,Medium_enterprise
SE,FT,Data Scientist,200000,US,M,Medium_enterprise
SE,FT,Data Scientist,170000,US,M,Medium_enterprise
SE,FT,Data Scientist,171250,IE,M,Medium_enterprise
SE,FT,Data Scientist,113750,IE,M,Medium_enterprise
SE,FT,Applied Scientist,222200,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
SE,FT,Applied Scientist,260000,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
SE,FT,Data Analyst,153600,US,M,Medium_enterprise
SE,FT,Data Analyst,100500,US,M,Medium_enterprise
SE,FT,Applied Scientist,205000,US,M,Medium_enterprise
SE,FT,Applied Scientist,184000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,115000,CA,M,Medium_enterprise
SE,FT,Machine Learning Engineer,95000,CA,M,Medium_enterprise
MI,FT,Data Analyst,182500,US,M,Medium_enterprise
MI,FT,Data Analyst,121500,US,M,Medium_enterprise
SE,FT,Data Engineer,203100,US,M,Medium_enterprise
SE,FT,Data Engineer,114500,US,M,Medium_enterprise
MI,FT,Data Analyst,60000,GB,M,Medium_enterprise
MI,FT,Data Analyst,45000,GB,M,Medium_enterprise
SE,FT,Data Engineer,252000,US,M,Medium_enterprise
SE,FT,Data Engineer,129000,US,M,Medium_enterprise
EN,FT,Data Engineer,92700,US,M,Medium_enterprise
EN,FT,Data Engineer,61800,US,M,Medium_enterprise
SE,FT,Data Engineer,160000,US,M,Medium_enterprise
SE,FT,Data Engineer,130000,US,M,Medium_enterprise
SE,FT,Data Scientist,258000,CA,M,Medium_enterprise
SE,FT,Data Scientist,190000,CA,M,Medium_enterprise
SE,FT,Data Scientist,170000,US,M,Medium_enterprise
SE,FT,Data Scientist,135000,US,M,Medium_enterprise
MI,FT,Data Architect,167500,US,M,Medium_enterprise
MI,FT,Data Architect,106500,US,M,Medium_enterprise
SE,FT,Data Scientist,195000,US,M,Medium_enterprise
SE,FT,Data Scientist,160000,US,M,Medium_enterprise
